case,2023-10-20T23:30:34.755742,2023-10-21T00:38:13.160663,2023-10-21T00:42:49.956543,2023-10-21T00:50:08.428110,2023-10-21T01:17:21.760157,2023-10-21T01:21:32.438044,2023-10-21T01:50:36.630387,2023-10-21T01:54:26.281402,2023-10-21T01:57:51.652721,2023-10-21T02:01:48.867771,2023-10-21T02:05:03.877950,2023-10-21T02:14:35.367278,2023-10-21T02:18:43.473352,2023-10-21T02:20:40.484872,2023-10-21T02:22:41.002817,2023-10-21T10:31:06.980853,2023-10-21T10:34:36.903757,2023-10-21T10:36:26.601112,2023-10-21T10:38:10.737221,2023-10-21T10:40:09.883808,2023-10-21T10:59:16.680439,2023-10-21T11:01:53.521567,2023-10-21T11:04:01.328806,2023-10-21T11:06:37.147415,2023-10-21T11:09:24.767237,2023-10-21T11:12:29.737628,2023-10-21T11:14:48.765113,2023-10-21T11:33:17.839442,2023-10-21T11:45:56.215101,2023-10-21T11:48:29.697132,2023-10-21T11:51:51.357325,2023-10-21T11:54:56.600191,2023-10-21T13:53:18.558109,2023-10-21T14:46:49.321917,2023-10-21T15:29:00.068713,2023-10-21T15:59:28.617047,2023-10-21T16:04:08.523130,2023-10-21T16:27:26.583949
0318.txt,442052,442052,454260,43899764,442052,11579524,989812,1016062,724540,1325641,1073546,1443043,1746511,694833,1443043,1781467,2224334,1645815,1509427,1781467,1443043,2545831,1443043,1443043,1443043,1443043,1443043,1781467,1166524,1652066,1652066,1652066,2413614,1652066,2018852,2074471.0,2289801.0,1652066.0
0319.txt,5252549,5189951,5189951,25913198,5252549,14708490,2774502,4450296,3476961,4262112,7201396,3007064,3510841,2538890,3007064,3007064,4762548,3799850,3799850,3007064,3007064,3007064,3007064,3007064,3007064,3007064,3007064,4539612,3108780,5662296,5662296,5662296,5988890,5662296,5652604,5652604.0,5652604.0,5652604.0
0320.txt,7704693,7704693,8536936,44924151,7012971,16537513,7338142,5345095,6321750,6592517,6346202,6971319,4027323,6977397,6971319,6971319,6973525,6472502,6971319,6971319,6971319,6971319,6971319,6971319,6971319,6971319,6971319,7075855,5661594,1083837,1083837,1083837,1282644,1083837,1083837,1083837.0,1083837.0,1083837.0
0321.txt,550670,305447,660957,51423396,305447,21337167,3562604,641562,1696678,1105928,910512,238207,713593,786705,495381,238207,375995,833432,553907,495381,493624,238207,238207,493624,493624,495381,238207,238207,3764641,1940005,1940005,1940005,2732019,1940005,1940005,1940005.0,1940005.0,1940005.0
0322.txt,362711,362711,362711,27152752,362711,14411872,178525,134921,660379,982294,196843,221905,229866,635670,221905,221905,195188,199257,326556,221905,221905,221905,221905,221905,221905,221905,221905,221905,9117506,341042,341042,341042,341042,341042,341042,341042.0,341042.0,341042.0
0323.txt,303693,107458,303693,71800712,107458,101845470,1532555,12980707,70162,697088,762177,601325,46357,259727,601325,601325,65723,413196,601325,601325,601325,601325,601325,601325,601325,601325,601325,601325,6837441,998563,998563,998563,1128808,998563,998563,998563.0,998563.0,998563.0
0324.txt,676745,700427,700427,66843389,676745,24010408,108201,314048,594125,426951,358141,619676,956456,1547362,619676,619676,761380,1334673,1322153,619676,619676,221647,619676,619676,619676,619676,96503,619676,8412494,725628,725628,725628,1306291,725628,725628,725628.0,737850.0,725628.0
0325.txt,21701,21701,21701,52434901,21701,39118101,22201,9001,79801,29201,4801,35901,35501,12601,35901,35901,8201,35901,35901,35901,35901,35901,35901,35901,35901,35901,35901,35901,5215301,59301,59301,59301,59301,59301,59301,59301.0,59301.0,59301.0
0326.txt,3035433,3035433,3035433,49072395,3035433,13809563,2893528,368172,1956149,1956149,2366934,1731794,246626,2400381,1731794,1731794,1731794,1731794,1731794,1731794,1731794,1731794,1731794,1731794,1731794,1731794,1731794,2982997,1930768,577976,577976,577976,577976,577976,577976,577976.0,577976.0,577976.0
0327.txt,291884,291884,291884,42962556,291884,27371882,576039,441501,415608,794049,443164,483029,508565,1349419,483029,245968,426086,494226,575064,245968,245968,245968,245968,245968,245968,245968,245968,245968,320880,2162398,2162398,2162398,2307112,2162398,2165408,2165408.0,2165408.0,2165408.0
